Month,Price (€/m^2),District
2019-04-01,14.5,Certosa
2019-03-01,14.5,Certosa
2019-02-01,14.4,Certosa
2019-01-01,14.4,Certosa
2018-12-01,14.4,Certosa
2018-11-01,14.0,Certosa
2018-10-01,14.0,Certosa
2018-09-01,14.0,Certosa
2018-08-01,14.0,Certosa
2018-07-01,14.0,Certosa
2018-06-01,14.0,Certosa
2018-05-01,14.5,Certosa
2018-04-01,13.9,Certosa
2018-03-01,13.3,Certosa
2018-02-01,14.0,Certosa
2018-01-01,14.6,Certosa
2017-12-01,14.8,Certosa
2017-11-01,14.0,Certosa
2017-10-01,13.6,Certosa
2017-09-01,12.7,Certosa
2017-08-01,12.5,Certosa
2017-07-01,13.0,Certosa
2017-06-01,13.0,Certosa
2017-05-01,13.0,Certosa
2017-04-01,13.0,Certosa
2017-03-01,13.3,Certosa
2017-02-01,13.6,Certosa
2017-01-01,13.5,Certosa
2016-12-01,13.6,Certosa
2016-11-01,13.0,Certosa
2016-10-01,13.3,Certosa
2016-09-01,13.1,Certosa
2016-08-01,13.1,Certosa
2016-07-01,12.5,Certosa
2016-06-01,12.1,Certosa
2016-05-01,12.1,Certosa
2016-04-01,12.5,Certosa
2016-03-01,12.7,Certosa
2016-02-01,12.3,Certosa
2016-01-01,12.2,Certosa
2015-12-01,12.2,Certosa
2015-11-01,12.7,Certosa
2015-10-01,12.6,Certosa
2015-09-01,12.7,Certosa
2015-08-01,12.2,Certosa
2015-07-01,12.0,Certosa
2015-06-01,12.0,Certosa
2015-05-01,12.2,Certosa
2015-04-01,12.2,Certosa
2015-03-01,12.6,Certosa
2015-02-01,12.9,Certosa
2015-01-01,12.5,Certosa
2014-12-01,12.2,Certosa
2014-11-01,12.0,Certosa
2014-10-01,11.9,Certosa
2014-09-01,11.8,Certosa
2014-08-01,11.8,Certosa
2014-07-01,11.7,Certosa
2014-06-01,12.0,Certosa
2014-05-01,12.0,Certosa
2014-04-01,12.0,Certosa
2014-03-01,12.0,Certosa
2014-02-01,12.0,Certosa
2014-01-01,11.7,Certosa
2013-12-01,11.7,Certosa
2013-11-01,12.0,Certosa
2013-10-01,12.0,Certosa
2013-09-01,,Certosa
2013-08-01,,Certosa
2013-07-01,11.5,Certosa
2013-06-01,11.7,Certosa
2013-05-01,12.0,Certosa
2013-04-01,12.0,Certosa
2023-03-01,18.5,Comasina
2023-02-01,18.3,Comasina
2023-01-01,18.3,Comasina
2022-12-01,18.3,Comasina
2022-11-01,18.0,Comasina
2022-10-01,18.0,Comasina
2022-09-01,17.4,Comasina
2022-08-01,16.7,Comasina
2022-07-01,16.3,Comasina
2022-06-01,15.9,Comasina
2022-05-01,16.4,Comasina
2022-04-01,16.7,Comasina
2022-03-01,16.7,Comasina
2022-02-01,16.7,Comasina
2022-01-01,16.5,Comasina
2021-12-01,16.3,Comasina
2021-11-01,16.0,Comasina
2021-10-01,15.8,Comasina
2021-09-01,15.4,Comasina
2021-08-01,15.2,Comasina
2021-07-01,15.1,Comasina
2021-06-01,15.0,Comasina
2021-05-01,15.0,Comasina
2021-04-01,15.0,Comasina
2021-03-01,15.5,Comasina
2021-02-01,15.9,Comasina
2021-01-01,16.3,Comasina
2020-12-01,16.0,Comasina
2020-11-01,15.8,Comasina
2020-10-01,15.8,Comasina
2020-09-01,15.8,Comasina
2020-08-01,15.9,Comasina
2020-07-01,16.4,Comasina
2020-06-01,17.0,Comasina
2020-05-01,18.2,Comasina
2020-04-01,18.3,Comasina
2020-03-01,18.9,Comasina
2020-02-01,19.0,Comasina
2020-01-01,17.1,Comasina
2019-12-01,17.1,Comasina
2019-11-01,16.9,Comasina
2019-10-01,16.7,Comasina
2019-09-01,15.8,Comasina
2019-08-01,15.8,Comasina
2019-07-01,15.6,Comasina
2019-06-01,16.0,Comasina
2019-05-01,16.4,Comasina
2019-04-01,16.7,Comasina
2019-03-01,15.9,Comasina
2019-02-01,15.3,Comasina
2019-01-01,15.5,Comasina
2018-12-01,15.3,Comasina
2018-11-01,14.5,Comasina
2018-10-01,14.3,Comasina
2018-09-01,14.4,Comasina
2018-08-01,14.4,Comasina
2018-07-01,14.4,Comasina
2018-06-01,14.3,Comasina
2018-05-01,14.4,Comasina
2018-04-01,14.6,Comasina
2018-03-01,14.4,Comasina
2018-02-01,14.4,Comasina
2018-01-01,14.5,Comasina
2017-12-01,15.0,Comasina
2017-11-01,15.0,Comasina
2017-10-01,14.5,Comasina
2017-09-01,13.8,Comasina
2017-08-01,13.6,Comasina
2017-07-01,13.6,Comasina
2017-06-01,13.6,Comasina
2017-05-01,13.8,Comasina
2017-04-01,14.0,Comasina
2017-03-01,14.0,Comasina
2017-02-01,13.3,Comasina
2017-01-01,13.3,Comasina
2016-12-01,13.1,Comasina
2016-11-01,12.9,Comasina
2016-10-01,12.7,Comasina
2016-09-01,12.9,Comasina
2016-08-01,12.9,Comasina
2016-07-01,12.7,Comasina
2016-06-01,12.5,Comasina
2016-05-01,12.7,Comasina
2016-04-01,13.3,Comasina
2016-03-01,13.4,Comasina
2016-02-01,13.3,Comasina
2016-01-01,12.8,Comasina
2015-12-01,12.7,Comasina
2015-11-01,12.5,Comasina
2015-10-01,12.8,Comasina
2015-09-01,12.7,Comasina
2015-08-01,12.7,Comasina
2015-07-01,12.5,Comasina
2015-06-01,12.6,Comasina
2015-05-01,12.6,Comasina
2015-04-01,12.5,Comasina
2015-03-01,12.4,Comasina
2015-02-01,12.2,Comasina
2015-01-01,12.3,Comasina
2014-12-01,12.3,Comasina
2014-11-01,12.1,Comasina
2014-10-01,12.3,Comasina
2014-09-01,12.3,Comasina
2014-08-01,12.2,Comasina
2014-07-01,12.0,Comasina
2014-06-01,11.8,Comasina
2014-05-01,11.8,Comasina
2014-04-01,12.0,Comasina
2014-03-01,11.8,Comasina
2014-02-01,11.8,Comasina
2014-01-01,11.8,Comasina
2013-12-01,12.0,Comasina
2013-11-01,12.2,Comasina
2013-10-01,12.2,Comasina
2013-09-01,,Comasina
2013-08-01,,Comasina
2013-07-01,12.3,Comasina
